Name;CR(PE);CR(PEW);CR;EN;VU;LR/cd;NT or LR/nt;LC or LR/lc;DD
ACTINOPTERYGII;140;8;739;121;141;0;765;16556;4902
AMPHIBIA;184;1;795;1265;816;0;431;3763;911
ANTHOZOA;2;0;26;27;203;0;180;280;135
ARACHNIDA;21;0;76;116;76;0;25;222;67
ASTEROIDEA;0;0;1;0;0;0;0;0;0
AVES;22;0;232;405;717;0;940;8699;40
BIVALVIA;15;0;84;71;61;4;57;340;169
BRANCHIOPODA;0;0;8;13;22;1;1;1;1
CALCAREA;0;0;0;0;0;0;0;0;2
CEPHALOPODA;0;0;1;2;2;0;2;324;419
CHILOPODA;2;0;3;6;1;0;0;1;0
CHONDRICHTHYES;2;0;91;123;184;0;127;543;172
CLITELLATA;4;0;7;16;12;0;20;108;192
COLLEMBOLA;2;0;3;4;2;0;10;6;3
DEMOSPONGIAE;0;0;0;0;0;0;0;1;21
DIPLOPODA;4;0;37;32;17;0;66;52;43
ECHINOIDEA;0;0;0;0;0;0;1;0;0
GASTROPODA;137;1;643;548;995;0;682;2692;1647
HEXANAUPLIA;0;0;1;0;24;8;0;0;4
HOLOTHUROIDEA;0;0;0;7;9;0;0;111;244
HYDROZOA;1;0;5;0;4;0;0;5;1
INSECTA;93;0;429;978;954;3;735;6155;3253
MALACOSTRACA;18;1;141;162;311;0;76;1206;1131
MAMMALIA;29;0;235;550;554;0;378;3340;837
MAXILLOPODA;0;0;6;0;47;0;0;0;19
MEROSTOMATA;0;0;0;1;1;0;0;0;2
MONOPLACOPHORA;0;0;0;0;0;0;0;1;0
MYXINI;0;0;1;2;6;0;2;36;33
NEMERTEA;1;0;1;1;1;0;0;1;1
OSTRACODA;0;0;2;0;9;0;0;0;1
PETROMYZONTI;1;0;2;4;3;0;3;24;2
POLYCHAETA;0;0;1;0;0;0;0;0;1
POLYPLACOPHORA;0;0;0;1;0;0;1;0;0
REPTILIA;48;0;434;789;625;2;566;6312;1492
SARCOPTERYGII;0;0;1;1;1;0;0;5;0
SOLENOGASTRES;0;0;0;0;1;0;2;1;0
TURBELLARIA;0;0;0;0;0;0;0;0;1
UDEONYCHOPHORA;0;0;3;2;4;0;1;0;1
PHAEOPHYCEAE;4;0;4;1;1;0;0;0;12
AGARICOMYCETES;2;0;16;69;134;0;58;185;135
ARTHONIOMYCETES;0;0;5;3;0;0;0;0;3
DOTHIDEOMYCETES;0;0;1;0;1;0;0;0;2
EUROTIOMYCETES;0;0;0;0;2;0;0;1;5
EXOBASIDIOMYCETES;0;0;1;0;0;0;0;0;0
GEOGLOSSOMYCETES;0;0;0;0;2;0;1;0;1
LECANOROMYCETES;1;0;18;32;19;0;1;45;5
LEOTIOMYCETES;0;0;0;1;1;0;1;4;1
NOT ASSIGNED;0;0;1;0;1;0;0;0;0
PEZIZOMYCETES;0;0;1;1;3;0;4;1;2
SORDARIOMYCETES;0;0;2;0;1;0;0;1;6
USTILAGINOMYCETES;0;0;1;0;2;0;0;1;0
ANDREAEOPSIDA;0;0;0;1;1;0;0;0;1
ANTHOCEROTOPSIDA;0;0;0;2;0;0;0;1;0
BRYOPSIDA;0;0;26;38;32;0;22;38;28
BRYOPSIDOPHYCEAE;0;0;0;0;0;0;0;0;1
CHAROPHYACEAE;0;0;0;0;0;0;0;11;3
CHLOROPHYCEAE;0;0;0;0;0;0;0;0;1
CYCADOPSIDA;0;3;62;105;71;0;41;63;0
FLORIDEOPHYCEAE;2;0;6;0;3;0;0;8;60
GINKGOOPSIDA;0;0;0;1;0;0;0;0;0
GNETOPSIDA;0;0;0;1;4;0;7;75;10
JUNGERMANNIOPSIDA;0;0;14;25;21;0;11;27;3
LILIOPSIDA;83;14;888;1537;1152;7;542;4122;1022
LYCOPODIOPSIDA;2;0;14;12;17;0;10;45;13
MAGNOLIOPSIDA;473;31;4583;8972;8188;119;3256;2557;4121
MARCHANTIOPSIDA;0;0;2;3;2;0;1;1;4
PINOPSIDA;1;0;30;96;80;0;100;300;8
POLYPODIOPSIDA;8;0;71;105;97;0;43;290;94
POLYTRICHOPSIDA;0;0;0;0;0;0;1;0;0
SPHAGNOPSIDA;0;0;6;3;4;0;0;3;1
TAKAKIOPSIDA;0;0;0;0;1;0;0;0;0
ULVOPHYCEAE;0;0;0;0;0;0;0;0;1